城市,编号,名称,地区,经纬度
北京市,BV10000461,立水桥(地铁站),朝阳区,"116.412350,40.053032"
北京市,BV10840913,清河营(地铁站),朝阳区,"116.441977,40.051119"
北京市,BV10013455,八角游乐园(地铁站),石景山区,"116.212684,39.907442"
北京市,BV10006429,常营(地铁站),朝阳区,"116.599722,39.925696"
北京市,BV10013450,荣昌东街(地铁站),大兴区,"116.521737,39.782799"
北京市,BV10013406,安河桥北(地铁站),海淀区,"116.269956,40.012195"
北京市,BV10740316,农大南路(地铁站),海淀区,"116.282272,40.021398"
北京市,BV11315919,政务中心东(地铁站),通州区,"116.738808,39.910634"
北京市,BV10013420,高米店南(地铁站),大兴区,"116.331605,39.763489"
北京市,BV10968866,万安(地铁站),海淀区,"116.231977,39.984001"
北京市,BV10013421,枣园(地铁站),大兴区,"116.332204,39.753458"
北京市,BV10006882,草房(地铁站),朝阳区,"116.615574,39.924477"
北京市,BV10001118,八里桥(地铁站),朝阳区,"116.618658,39.906121"
北京市,BV10013469,育新(地铁站),海淀区,"116.347328,40.060039"
北京市,BV10013445,天通苑南(地铁站),昌平区,"116.412684,40.066612"
北京市,BV10013401,园博园(地铁站),丰台区,"116.201643,39.861328"
北京市,BV10740318,马连洼(地铁站),海淀区,"116.272520,40.032637"
北京市,BV10007921,同济南路(地铁站),通州区,"116.539835,39.772900"
北京市,BV10840912,天通苑东(地铁站),昌平区,"116.442154,40.068580"
北京市,BV10000295,古城(地铁站),石景山区,"116.190337,39.907450"
北京市,BV10013449,经海路(地铁站),通州区,"116.562245,39.783587"
北京市,BV10827741,杨庄(地铁站),石景山区,"116.187004,39.927850"
北京市,BV10013275,清源路(地铁站),大兴区,"116.332513,39.742724"
北京市,BV10002193,孙河(地铁站),朝阳区,"116.534700,40.045113"
北京市,BV10968849,植物园(地铁站),海淀区,"116.215722,39.993537"
北京市,BV10877516,大兴新城(地铁站),大兴区,"116.365522,39.735583"
北京市,BV10007658,霍营(地铁站),昌平区,"116.360286,40.071857"
北京市,BV10013448,次渠南(地铁站),通州区,"116.581357,39.795118"
北京市,BV10011266,次渠(地铁站),通州区,"116.591563,39.803550"
北京市,BV10013399,亦庄火车站(地铁站),通州区,"116.601913,39.812607"
北京市,BV10006917,张郭庄(地铁站),丰台区,"116.187193,39.858100"
北京市,BV10004143,通州北苑(地铁站),通州区,"116.637252,39.903864"
北京市,BV10968848,香山(地铁站),海淀区,"116.204491,39.994056"
北京市,BV10416645,物资学院路(地铁站),通州区,"116.639316,39.926801"
北京市,BV10013515,龙泽(地铁站),昌平区,"116.319429,40.070882"
北京市,BV10013447,天通苑北(地铁站),昌平区,"116.412888,40.083668"
北京市,BV10004378,回龙观东大街(地铁站),昌平区,"116.363025,40.081175"
北京市,BV10013424,稻田(地铁站),房山区,"116.218840,39.794885"
